Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
women-cute-short-wallet-zipper-keychain-girl-wallet,Cute Short Zipper Keychain Wallet For Women.,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Size : <span data-mce-fragment=""1""> </span></strong>14L * 10W * 4H CM</p>
<p data-mce-fragment=""1""><span>Material: Genuine Leather</span></p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1""><span>Package Include: 1Pc</span><br data-mce-fragment=""1""><br></p>
<p data-mce-fragment=""1"">Total Pockets : 4</p>
<p data-mce-fragment=""1"">Weight : 150gm per Bag</p>
<p data-mce-fragment=""1"">Colour :  Maroon | Black | Sky | Pink |  Blue</p>",Bag Bazar,,,Bags,TRUE,Color,Black,,,,,,0,,0,deny,manual,139,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0046.jpg?v=1717054413,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0044.jpg?v=1717054413,kg,,,TRUE,,,TRUE,,,active
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,Pink,,,,,,0,,0,deny,manual,139,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0044.jpg?v=1717054413,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0043.jpg?v=1717054413,kg,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,Blue,,,,,,0,,0,deny,manual,139,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0045.jpg?v=1717054413,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0047.jpg?v=1717054413,kg,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,Maroon,,,,,,0,,0,deny,manual,139,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0049.jpg?v=1717054413,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6176838574754871400_y.jpg?v=1717054413,kg,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0048.jpg?v=1717054413,5,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0043.jpg?v=1717054413,6,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0047.jpg?v=1717054413,7,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cute-short-wallet-zipper-keychain-girl-wallet,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6176838574754871400_y.jpg?v=1717054413,8,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,Royal Bagger Fashion Short Wallet For Women,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,115,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0042.jpg?v=1717054401,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0039.jpg?v=1717054401,2,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0040.jpg?v=1717054401,3,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0036.jpg?v=1717054401,4,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0037.jpg?v=1717054401,5,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0035.jpg?v=1717054401,6,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0034.jpg?v=1717054401,7,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0041.jpg?v=1717054401,8,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-bagger-fashion-short-wallet-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0038.jpg?v=1717054401,9,,,,,,,,,,,,,,,,,,,,,,,,,,
new-handheld-mini-portable-storage-bag-for-women,New Handheld Mini Portable Storage Bag for Women,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,149,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0030.jpg?v=1717054387,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
new-handheld-mini-portable-storage-bag-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0031.jpg?v=1717054387,2,,,,,,,,,,,,,,,,,,,,,,,,,,
new-handheld-mini-portable-storage-bag-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0029.jpg?v=1717054387,3,,,,,,,,,,,,,,,,,,,,,,,,,,
new-handheld-mini-portable-storage-bag-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0032.jpg?v=1717054387,4,,,,,,,,,,,,,,,,,,,,,,,,,,
new-handheld-mini-portable-storage-bag-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0033.jpg?v=1717054387,5,,,,,,,,,,,,,,,,,,,,,,,,,,
new-handheld-mini-portable-storage-bag-for-women,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0028.jpg?v=1717054387,6,,,,,,,,,,,,,,,,,,,,,,,,,,
casual-tote-crossbody-soft-leather-handbag,Casual Tote Crossbody Soft Leather Handbag,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,119,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0026.jpg?v=1717054378,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
casual-tote-crossbody-soft-leather-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0027.jpg?v=1717054378,2,,,,,,,,,,,,,,,,,,,,,,,,,,
casual-tote-crossbody-soft-leather-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0024.jpg?v=1717054378,3,,,,,,,,,,,,,,,,,,,,,,,,,,
casual-tote-crossbody-soft-leather-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0025.jpg?v=1717054378,4,,,,,,,,,,,,,,,,,,,,,,,,,,
casual-tote-crossbody-soft-leather-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0023.jpg?v=1717054378,5,,,,,,,,,,,,,,,,,,,,,,,,,,
casual-tote-crossbody-soft-leather-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0022.jpg?v=1717054378,6,,,,,,,,,,,,,,,,,,,,,,,,,,
girl-women-wallet-shoulder-mini-leather-bag,Girl Women Wallet Shoulder Mini Leather Bag,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,119,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0016.jpg?v=1717054369,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
girl-women-wallet-shoulder-mini-leather-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0019.jpg?v=1717054369,2,,,,,,,,,,,,,,,,,,,,,,,,,,
girl-women-wallet-shoulder-mini-leather-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0020.jpg?v=1717054369,3,,,,,,,,,,,,,,,,,,,,,,,,,,
girl-women-wallet-shoulder-mini-leather-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0021.jpg?v=1717054369,4,,,,,,,,,,,,,,,,,,,,,,,,,,
girl-women-wallet-shoulder-mini-leather-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0017.jpg?v=1717054369,5,,,,,,,,,,,,,,,,,,,,,,,,,,
girl-women-wallet-shoulder-mini-leather-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0018.jpg?v=1717054369,6,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,New Mobile Phone Bag Women Messenger Bag,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,119,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0011.jpg?v=1717054360,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0007.jpg?v=1717054360,2,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0008.jpg?v=1717054360,3,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0010.jpg?v=1717054360,4,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0009.jpg?v=1717054360,5,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0013.jpg?v=1717054360,6,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0014.jpg?v=1717054360,7,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0015.jpg?v=1717054360,8,,,,,,,,,,,,,,,,,,,,,,,,,,
new-mobile-phone-bag-women-messenger-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0012.jpg?v=1717054360,9,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,Ladies Fashion Hundred Crossbody Bag Women shoulder crossbody bag,<p></p>,Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,149,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0006.jpg?v=1717054347,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0005.jpg?v=1717054347,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0003.jpg?v=1717054347,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0004.jpg?v=1717054347,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0001.jpg?v=1717054347,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0002.jpg?v=1717054347,6,,,,,,,,,,,,,,,,,,,,,,,,,,
ladies-fashion-hundred-crossbody-bag-women-shoulder-crossbody-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20240112-WA0000.jpg?v=1717054347,7,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-women-handbag-large-capacity-soft-tote-handbag,Vintage Women Handbag Large Capacity Soft Tote Handbag,"<p>Place Of Originn : India</p>
<p>Type : Shoulder  Bags</p>
<p>Pattern : Solid</p>
<p>Closer Type : Zipper</p>
<p>Gender  : Women</p>
<p>Shape : Casual Tote</p>
<p> </p>
<p> </p>
<p> </p>",Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,139,2990,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6082196960342819118_x.jpg?v=1717054337,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
vintage-women-handbag-large-capacity-soft-tote-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6082196960342819117_x.jpg?v=1717054337,2,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-women-handbag-large-capacity-soft-tote-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6082196960342819116_x.jpg?v=1717054337,3,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-women-handbag-large-capacity-soft-tote-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6082196960342819115_x.jpg?v=1717054337,4,,,,,,,,,,,,,,,,,,,,,,,,,,
vintage-women-handbag-large-capacity-soft-tote-handbag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6082196960342819114_x.jpg?v=1717054337,5,,,,,,,,,,,,,,,,,,,,,,,,,,
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,Travel Duffel Bag Shoulder Bag Expandable Folding Travel Bag for Women Girl Waterproof Lightweight Carry Luggage Bag for Travel,"<p>Faux Leather<br>Water resistance level<br>Waterproof<br>Closure type<br>Zipper<br>Item weight<br>480 Grams<br>Handle type<br>Web Handle</p>
<p>Product Dimensions 11L x 7W x 2H Centimeters<br>Item Weight 480 Grams<br>Number of Compartments 2<br><br></p>",Bag Bazar,,,Bags,TRUE,Color,PINK,,,,,,0,,0,deny,manual,145,2449,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0037.jpg?v=1717054329,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0037.jpg?v=1717054329,kg,,,TRUE,,,TRUE,,,active
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,,,,,,,,,BLUE,,,,,,0,,0,deny,manual,139,2449,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0028.jpg?v=1717054329,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0027.jpg?v=1717054329,kg,,,,,,,,,
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,,,,,,,,,GREY,,,,,,0,,0,deny,manual,139,2449,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0030.jpg?v=1717054329,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0033.jpg?v=1717054329,kg,,,,,,,,,
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,,,,,,,,,PURPLE,,,,,,0,,0,deny,manual,139,2449,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0027.jpg?v=1717054329,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0035.jpg?v=1717054329,kg,,,,,,,,,
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0033.jpg?v=1717054329,5,,,,,,,,,,,,,,,,,,,,,,,,,,
travel-duffel-bag-shoulder-bag-expandable-folding-travel-bag-for-women-girl-waterproof-lightweight-carry-luggage-bag-for-travel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/IMG-20231221-WA0035.jpg?v=1717054329,6,,,,,,,,,,,,,,,,,,,,,,,,,,
genuine-leather-women-laptop-handbag-for-women,Genuine Leather Women Laptop Handbag For Women,"<p><strong>Size :  </strong>30 *30*10</p>
<p>Total Pockets : 10</p>
<p>Weight : 450gm</p>
<p>Colour :  Pink | Maroon</p>
<p> </p>",Bag Bazar,,,Bags,TRUE,Color,Pink,,,,,,0,,0,deny,manual,155,2999,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6055552095634962315_x.jpg?v=1717054320,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/H49aa0fcc76214613b184c6f157a76fc48.jpg_640x640Q90.jpg__1.jpg?v=1717054320,kg,,,TRUE,,,TRUE,,,active
